channel_index,event_index,event_time,event_score,coda_index,coda_time,windows
76,5759,2021-11-29T08:35:27.600000,0.981,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
77,5759,2021-11-29T08:35:27.600000,0.979,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
78,5759,2021-11-29T08:35:27.600000,0.863,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
79,5759,2021-11-29T08:35:27.600000,0.908,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
80,5759,2021-11-29T08:35:27.600000,0.964,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
81,5759,2021-11-29T08:35:27.600000,0.94,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
82,5759,2021-11-29T08:35:27.600000,0.961,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
83,5759,2021-11-29T08:35:27.600000,0.936,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
84,5759,2021-11-29T08:35:27.600000,0.988,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
85,5759,2021-11-29T08:35:27.600000,0.996,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
86,5759,2021-11-29T08:35:27.600000,0.987,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
87,5759,2021-11-29T08:35:27.600000,0.986,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
88,5759,2021-11-29T08:35:27.600000,0.988,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
89,5759,2021-11-29T08:35:27.600000,0.891,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
90,5759,2021-11-29T08:35:27.600000,0.979,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
91,5759,2021-11-29T08:35:27.600000,0.987,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
92,5759,2021-11-29T08:35:27.600000,0.982,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
93,5759,2021-11-29T08:35:27.600000,0.991,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
94,5759,2021-11-29T08:35:27.600000,0.983,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
95,5759,2021-11-29T08:35:27.600000,0.931,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
96,5759,2021-11-29T08:35:27.600000,0.968,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
97,5759,2021-11-29T08:35:27.600000,0.986,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
98,5759,2021-11-29T08:35:27.600000,0.97,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
99,5759,2021-11-29T08:35:27.600000,0.966,10080,2021-11-29T08:36:10.800000,"[12, 13, 14, 15, 16, 17, 18, 19, 20]"
